# wl_(um)         transit_depth
0.33228          1.052888e-02
0.33261          1.052240e-02
0.33295          1.051755e-02
0.33328          1.051381e-02
0.33361          1.051083e-02
0.33395          1.050839e-02
0.33428          1.050636e-02
0.33461          1.050461e-02
0.33495          1.050310e-02
0.33528          1.050175e-02
0.33562          1.050053e-02
0.33596          1.049943e-02
0.33629          1.049840e-02
0.33663          1.049745e-02
0.33696          1.049655e-02
0.33730          1.049570e-02
0.33764          1.049489e-02
0.33798          1.049411e-02
0.33832          1.049336e-02
0.33865          1.049263e-02
0.33899          1.049193e-02
0.33933          1.049124e-02
0.33967          1.049057e-02
0.34001          1.048992e-02
0.34035          1.048928e-02
0.34069          1.048866e-02
0.34103          1.048805e-02
0.34137          1.048746e-02
0.34172          1.048688e-02
0.34206          1.048633e-02
0.34240          1.048582e-02
0.34274          1.048537e-02
0.34309          1.048502e-02
0.34343          1.048488e-02
0.34377          1.048533e-02
0.34412          1.048787e-02
0.34446          1.050724e-02
0.34480          1.064299e-02
0.34515          1.049781e-02
0.34550          1.048467e-02
0.34584          1.048166e-02
0.34619          1.048022e-02
0.34653          1.047924e-02
0.34688          1.047845e-02
0.34723          1.047776e-02
0.34757          1.047711e-02
0.34792          1.047649e-02
0.34827          1.047589e-02
0.34862          1.047530e-02
0.34897          1.047473e-02
0.34932          1.047416e-02
0.34967          1.047359e-02
0.35002          1.047304e-02
0.35037          1.047248e-02
0.35072          1.047193e-02
0.35107          1.047138e-02
0.35142          1.047083e-02
0.35177          1.047029e-02
0.35212          1.046974e-02
0.35247          1.046920e-02
0.35283          1.046866e-02
0.35318          1.046813e-02
0.35353          1.046759e-02
0.35389          1.046705e-02
0.35424          1.046652e-02
0.35460          1.046599e-02
0.35495          1.046546e-02
0.35531          1.046493e-02
0.35566          1.046440e-02
0.35602          1.046387e-02
0.35637          1.046334e-02
0.35673          1.046282e-02
0.35709          1.046229e-02
0.35744          1.046177e-02
0.35780          1.046125e-02
0.35816          1.046073e-02
0.35852          1.046020e-02
0.35888          1.045968e-02
0.35924          1.045917e-02
0.35960          1.045865e-02
0.35995          1.045813e-02
0.36032          1.045762e-02
0.36068          1.045710e-02
0.36104          1.045659e-02
0.36140          1.045607e-02
0.36176          1.045556e-02
0.36212          1.045505e-02
0.36248          1.045454e-02
0.36285          1.045403e-02
0.36321          1.045352e-02
0.36357          1.045301e-02
0.36394          1.045251e-02
0.36430          1.045200e-02
0.36466          1.045150e-02
0.36503          1.045099e-02
0.36540          1.045049e-02
0.36576          1.044999e-02
0.36613          1.044948e-02
0.36649          1.044898e-02
0.36686          1.044848e-02
0.36723          1.044798e-02
0.36759          1.044749e-02
0.36796          1.044699e-02
0.36833          1.044649e-02
0.36870          1.044600e-02
0.36907          1.044550e-02
0.36944          1.044501e-02
0.36981          1.044452e-02
0.37018          1.044402e-02
0.37055          1.044353e-02
0.37092          1.044304e-02
0.37129          1.044255e-02
0.37166          1.044206e-02
0.37203          1.044158e-02
0.37240          1.044109e-02
0.37278          1.044060e-02
0.37315          1.044012e-02
0.37352          1.043963e-02
0.37390          1.043915e-02
0.37427          1.043867e-02
0.37465          1.043819e-02
0.37502          1.043771e-02
0.37540          1.043723e-02
0.37577          1.043675e-02
0.37615          1.043627e-02
0.37652          1.043580e-02
0.37690          1.043532e-02
0.37728          1.043484e-02
0.37765          1.043437e-02
0.37803          1.043389e-02
0.37841          1.043342e-02
0.37879          1.043295e-02
0.37917          1.043248e-02
0.37955          1.043201e-02
0.37993          1.043154e-02
0.38031          1.043107e-02
0.38069          1.043060e-02
0.38107          1.043014e-02
0.38145          1.042967e-02
0.38183          1.042921e-02
0.38221          1.042875e-02
0.38260          1.042828e-02
0.38298          1.042782e-02
0.38336          1.042736e-02
0.38375          1.042690e-02
0.38413          1.042644e-02
0.38451          1.042599e-02
0.38490          1.042553e-02
0.38528          1.042508e-02
0.38567          1.042462e-02
0.38605          1.042417e-02
0.38644          1.042372e-02
0.38683          1.042327e-02
0.38721          1.042282e-02
0.38760          1.042237e-02
0.38799          1.042187e-02
0.38838          1.042136e-02
0.38877          1.042091e-02
0.38916          1.042046e-02
0.38954          1.042002e-02
0.38993          1.041958e-02
0.39032          1.041915e-02
0.39072          1.041871e-02
0.39111          1.041827e-02
0.39150          1.041784e-02
0.39189          1.041740e-02
0.39228          1.041697e-02
0.39267          1.041655e-02
0.39307          1.041612e-02
0.39346          1.041569e-02
0.39385          1.041527e-02
0.39425          1.041485e-02
0.39464          1.041444e-02
0.39504          1.041402e-02
0.39543          1.041362e-02
0.39583          1.041321e-02
0.39622          1.041281e-02
0.39662          1.041242e-02
0.39702          1.041204e-02
0.39741          1.041167e-02
0.39781          1.041129e-02
0.39821          1.041093e-02
0.39861          1.041059e-02
0.39901          1.041028e-02
0.39941          1.040998e-02
0.39981          1.040973e-02
0.40021          1.040952e-02
0.40061          1.040937e-02
0.40101          1.040933e-02
0.40141          1.040944e-02
0.40181          1.040979e-02
0.40221          1.041056e-02
0.40261          1.041210e-02
0.40302          1.041521e-02
0.40342          1.042216e-02
0.40382          1.044068e-02
0.40423          1.050969e-02
0.40463          1.068160e-02
0.40504          1.054953e-02
0.40544          1.044045e-02
0.40585          1.042016e-02
0.40625          1.041223e-02
0.40666          1.040822e-02
0.40707          1.040582e-02
0.40747          1.040420e-02
0.40788          1.040300e-02
0.40829          1.040205e-02
0.40870          1.040126e-02
0.40911          1.040056e-02
0.40952          1.039994e-02
0.40993          1.039936e-02
0.41034          1.039883e-02
0.41075          1.039831e-02
0.41116          1.039783e-02
0.41157          1.039735e-02
0.41198          1.039689e-02
0.41239          1.039644e-02
0.41281          1.039600e-02
0.41322          1.039557e-02
0.41363          1.039514e-02
0.41405          1.039472e-02
0.41446          1.039431e-02
0.41488          1.039389e-02
0.41529          1.039349e-02
